budget,revenue,runtime,rating,poster_brightness,poster_saturation,poster_dom_r,poster_dom_g,poster_dom_b,budget_imputed,num_production_companies,num_production_countries,budget_per_minute,num_genres,is_action,is_animation,is_comedy,is_drama,is_scifi,num_cast,has_cast,num_directors,release_year,release_month,is_summer,is_holiday,is_weekend_month,movie_age,decade,num_keywords,has_keywords,in_collection,is_english
1.3154639899415708,18.38074874909822,0.7177673894694092,-0.396397560759057,85.51,97.95,68.0,65.0,66.0,0,3,2,1.8327162939430741,5,1,0,0,1,1,5,1,1,2000,11,0,1,0,24,2000,12,1,0,1
0.5045004825063288,18.326773949941376,0.3467724013123933,-0.0900362540808502,73.97,92.55,73.0,62.0,61.0,0,2,1,1.4548461198094156,3,1,0,0,0,0,5,1,1,2000,3,0,0,0,24,2000,5,1,0,1
1.1568464873923383,18.32336190714661,-0.2097200809231305,-0.2566341909241087,98.04,170.53,97.0,68.0,37.0,0,2,1,0.0,2,0,0,0,1,0,5,1,1,2000,8,0,0,0,24,2000,17,1,0,1
0.5818721504151835,18.32030699589704,-0.3952175750016385,-0.0878000401634913,192.69,102.19,191.0,142.0,125.0,0,2,1,0.0,1,0,0,1,0,0,5,1,1,2000,8,0,0,0,24,2000,24,1,1,1
1.450950257132984,18.241050039565614,-0.2097200809231305,1.6463838527485477,187.1,38.98,174.0,176.0,180.0,0,1,1,0.0,2,0,0,1,0,0,5,1,1,2000,9,0,0,0,24,2000,14,1,0,1
0.6730365946409241,18.225881677797968,0.9960136305871712,1.2729361285495653,77.94,127.22,49.0,56.0,64.0,0,1,1,0.6757303052611386,1,0,0,0,1,0,5,1,1,2000,9,0,0,0,24,2000,2,1,0,1
0.8747556840579715,18.198786424522982,1.32063424522456,0.8670633025488758,185.76,124.01,185.0,130.0,97.0,0,4,1,0.6623754360611999,2,0,0,0,1,0,5,1,1,2000,12,0,1,1,24,2000,22,1,0,1
0.949855407006036,18.31956906695994,-0.6734638161194004,-0.2980041483952533,100.96,160.09,99.0,50.0,38.0,0,4,2,0.0,3,0,0,1,0,0,5,1,1,2000,10,0,0,0,24,2000,11,1,0,1
0.0580523445747323,18.108442610919894,-1.1372075513156703,-0.907372440875628,155.77,94.32,133.0,136.0,116.0,0,3,1,0.0,4,0,0,1,0,1,5,1,1,2000,12,0,1,1,24,2000,15,1,0,1
1.4159313399196334,18.151493267225757,-0.8589613101979083,1.0180077419706195,122.24,149.71,115.0,100.0,54.0,0,2,1,0.0,5,0,1,1,0,0,5,1,2,2000,3,0,0,0,24,2000,11,1,0,1
0.5312772158704168,18.09046814883253,-0.0242225868446226,1.068322555111201,150.43,126.69,148.0,126.0,81.0,0,5,3,0.0,3,0,0,1,0,0,5,1,1,2000,8,0,0,0,24,2000,18,1,0,1
1.1021997938842365,18.078190449090098,0.9496392570675442,-0.1068078584610447,113.92,126.3,113.0,79.0,39.0,0,3,2,1.160651042678874,2,0,0,0,1,0,5,1,1,2000,4,0,0,0,24,2000,7,1,0,1
0.1998117184217853,18.04164521220993,-0.6734638161194004,0.200671555175842,172.75,115.33,120.0,139.0,145.0,0,11,1,0.0,5,1,1,0,0,0,5,1,1,2000,7,1,0,1,24,2000,11,1,1,0
0.6513611490043781,18.03657948497557,0.4858955218712742,1.0247163837226976,44.8,92.4,23.0,36.0,43.0,0,1,1,1.3405374605961893,4,0,0,0,0,1,5,1,1,2000,4,0,0,0,24,2000,25,1,0,1
-0.0877587845782332,17.981149596503233,-1.1835819248352972,-0.0822095053700935,110.82,155.56,80.0,73.0,78.0,0,4,1,0.0,4,1,0,1,0,0,5,1,1,2000,3,0,0,0,24,2000,5,1,1,0
1.1568464873923383,17.954844515018674,1.274259871704933,-0.2376263726265563,97.5,20.11,92.0,95.0,97.0,0,3,1,0.907857583119605,3,1,0,0,1,0,5,1,1,2000,12,0,1,1,24,2000,3,1,0,1
0.8747556840579715,17.945848612228215,-0.2097200809231305,-0.1615950994363438,75.94,102.96,75.0,56.0,43.0,0,2,1,0.0,2,0,0,1,1,0,5,1,1,2000,4,0,0,0,24,2000,8,1,0,1
0.0580523445747323,17.950112667436237,-0.8589613101979083,-1.3915127539838898,197.74,62.06,168.0,166.0,186.0,0,3,2,0.0,3,0,0,1,0,0,5,1,1,2000,2,0,0,0,24,2000,12,1,0,1
0.6289749077087743,17.908941102599538,0.9032648835479172,-0.2734057953043031,135.34,104.82,132.0,113.0,88.0,0,3,1,0.6963349502066719,2,0,0,1,0,0,5,1,1,2000,4,0,0,0,24,2000,5,1,0,1
0.8253809800967935,17.835623766062437,0.6713930159497822,1.1342908656732968,180.71,124.5,180.0,135.0,94.0,0,3,1,1.2293559219247658,1,0,0,0,1,0,5,1,1,2000,10,0,0,0,24,2000,10,1,0,1
1.3399954627054036,17.880980498506588,-0.8125869366782814,-0.5529325349741998,190.88,83.15,169.0,157.0,150.0,0,3,1,0.0,2,0,0,1,0,0,5,1,1,2000,11,0,1,0,24,2000,9,1,0,1
-0.0559986790741432,17.906973121214072,-0.4415919485212655,0.1324670306963873,176.13,131.26,130.0,119.0,129.0,0,2,1,0.0,1,0,0,1,0,0,5,1,1,2000,1,0,0,0,24,2000,13,1,1,1
1.298605869116918,17.920719571058296,-1.5545769129923133,0.7004653657056173,123.87,174.74,104.0,66.0,76.0,0,2,1,0.0,3,0,1,0,0,0,5,1,8,2000,1,0,0,0,24,2000,8,1,1,1
0.4475742584535894,17.78933697251896,0.0221517866750043,0.5730011724161446,63.45,118.91,44.0,52.0,60.0,0,1,1,20.20488302005114,3,1,0,0,0,1,5,1,1,2000,2,0,0,0,24,2000,10,1,1,1
0.4907077066248503,17.78580249038432,-3.1776799861792577,0.8447011633752834,231.23,51.4,218.0,209.0,201.0,1,2,1,0.0,2,0,0,0,0,0,5,1,1,2000,10,0,0,0,24,2000,3,1,1,0
0.1557500329119643,17.743448663645626,-0.0705969603642495,-0.608837882908179,46.76,122.01,46.0,31.0,18.0,0,3,1,0.0,3,0,0,0,1,0,5,1,1,2000,3,0,0,0,24,2000,11,1,1,1
1.1021997938842365,17.764444784798417,-0.6270894425997734,-1.1678913622479723,167.32,84.26,167.0,143.0,133.0,0,3,1,0.0,2,0,0,1,1,0,5,1,1,2000,2,0,0,0,24,2000,25,1,0,1
0.9777253664060624,17.7286232095124,0.4858955218712742,0.3818048824819349,165.0,62.81,164.0,133.0,132.0,0,3,1,2.012213165992269,1,0,0,1,0,0,5,1,1,2000,8,0,0,0,24,2000,6,1,0,1
1.3237394755634997,17.90095355185615,-0.7662125631586544,-1.7269448415877655,146.32,127.39,120.0,100.0,101.0,0,3,1,0.0,3,0,0,1,0,0,5,1,1,2000,4,0,0,0,24,2000,7,1,1,1
